"";" Pre82";" Pre83";" Pre84";" Pre85";" Pre86";" Pre87";" Pre88";" P0_89";" P0_90";" P0_91";" P0_92";" P0_93";" P0_94";" P0_95";" P5_96";" P5_97";" P5_98"
"CG9065";7,12402641859784;7,1007565234725;7,37305406494463;7,34953168776173;7,23975365877461;7,20992928445955;7,09828366519382;6,23626020305802;6,36815169187534;5,79683433939088;6,35676664241359;6,35233320861162;5,95047242915196;6,18459268339925;6,72199226834298;6,35668543139737;6,52737155976902
"CG6340";4,74298331703302;4,90626775293767;4,57806467354251;4,91286599768637;4,84448574200215;4,97612636819315;5,06519929227769;6,33513086937011;5,97362781071496;5,98230858130295;6,30925226197509;6,00635502662154;6,05461067824932;6,20377603413854;6,20082187130613;5,83499687714754;5,92502899292639
"CG7860";4,77551356972476;5,10473685785191;5,60551460601789;5,32830417480912;5,41346651859847;4,82713350078358;4,81247985014005;7,39996061485652;7,11490555899733;7,5342153572484;7,5382573371245;7,40375393584246;7,66140268868846;7,48751932547737;6,53179445216388;6,58121430080187;8,14989494362118
"CG8206";7,37160373712213;7,19579565151696;7,14863455852204;7,59974606152541;7,05734435054759;7,16658239071214;6,78580782668237;6,45904840814966;6,27566831904335;6,49311069767947;6,51343905652446;6,3701282849105;6,50003050256629;6,34396070748946;5,91733302716188;6,0757678553854;6,04682944550577
"Gapdh2";9,73031289430503;9,54886649673617;9,5460730054184;9,78861072618802;9,80996979418799;9,94986305268997;9,73012841244723;7,16736797843689;7,42836681101527;7,64355705567549;7,14971824843656;7,07687220500184;7,61819786948538;7,09976438277384;7,38166933658753;7,63955531683494;7,46526457423206
"CG15916";5,79599705667592;6,35267414124073;6,16935860911786;6,41160974461671;6,01993041797949;6,11718082056555;6,08928120197052;4,63830358794572;4,63865342969503;4,73271812105645;4,44674408218805;4,32424852714941;4,65902425649878;4,65656987053072;4,64177107880221;4,68660765120385;4,60887486650017
"eIF5";8,50227261671343;8,46493577163459;8,44208551055716;9,04501064744995;8,69394663407579;8,5644586256922;8,04066240757661;9,97698347169847;9,55656206874185;9,68960288215122;9,99175709817042;9,55046657738403;10,0127409219709;9,41722886472075;9,60177574296583;9,57090211809034;9,29744907547232
"Prosalpha4";7,22409943205604;6,86024996504576;7,49003966819783;7,12304071831813;6,76718368999201;7,14333673642626;7,00505876776382;8,62751512404259;8,319272382114;8,81715784067138;8,66339190922258;8,30306827375373;9,0963552938273;8,53001869286027;8,46944117222137;8,44667010060497;8,24594565308538
"UQCR-14";8,04846651802089;7,8868546354347;7,76301465859956;8,07492411360208;7,83235397221067;7,9232161960033;7,49783453776407;6,60812664157843;6,75324318723456;6,80060240617529;6,76345052657105;6,90248578588931;6,85464492570184;6,76459872134934;7,1675187964564;7,10206776451151;7,05781293260281
"caz";5,75394685933596;5,63070064304797;5,50191314473126;5,60135474379336;5,20406831944407;5,4521993594053;5,53903688637335;6,64088925241698;6,3655475586297;7,0550982645135;6,79400304717413;6,19423913872833;6,84046567810445;6,60287549105182;6,66720242896363;6,84813263542189;6,39223288597432
"CG9917";5,46583446391183;5,44383473138953;5,39345569559454;6,33282652033742;5,59348829309667;5,49432306217196;5,28578589830152;7,26098258380888;7,07075776569854;6,92306308841065;7,06915133527121;6,80658757801639;7,07966420653958;6,64148752231335;7,33928792337505;7,22794925565505;7,21594104415985
"mRpS18A";8,45079951817914;8,46300643136544;8,32149947271353;8,10675094704622;8,12215774181947;8,389629497905;8,35366451685933;6,98711713245463;7,45286151056404;7,33228731611972;7,00386369994803;7,27912801267457;7,42417834065025;7,22969862505911;7,75328214869181;7,60604623233616;7,34890040329215
"CG32647";8,64647142431979;8,82061488829204;8,85990801201249;8,40903145285866;8,14516657252405;7,79525302192057;8,47719211459995;7,72876913492424;7,33206798433716;7,04403947814938;7,69904938876883;7,09502653362584;6,84305056928082;7,70779099586333;6,07511396254395;6,37040397529571;5,48475491455442
"Ubi-p5E";10,4911169269055;10,1492667807603;10,2647897498578;10,7619691294473;10,3585108570068;10,2355588237045;10,3033837504284;11,7877325057111;11,7925219236337;11,9803161090956;11,8333276974128;11,3959856104189;11,8902215176393;11,9538877357323;11,4103567728367;11,1164264616249;10,9077292012562
"SNRPG";9,79437453906277;9,69172307849275;9,78683177787751;9,8386601072214;9,70942847902917;9,47503307078727;9,58072293267488;7,47793539179344;7,76883299527545;8,08912297188464;7,45179265882273;7,19854984439755;8,01960596618347;7,73058339000541;8,44389253625122;8,50155938843004;8,46606394561328
"Ankle2";5,95178005363379;5,50832018239328;5,3253135844938;5,7417928068498;5,27871631017416;5,53885871537454;5,34538188571215;6,66384973982683;6,63833217026371;6,68061993377921;6,64648802243885;6,48772422559776;6,40139314974804;6,79528109121221;6,26752849058612;6,03496408239596;5,83643435922691
"Sh";7,92200782298335;7,93200432023466;7,95994941285241;8,44929468667221;7,87000868580315;7,17331171918996;7,81724127371411;7,45011266419148;7,41724377342769;7,29533682936831;7,11349954298534;7,18578274322915;7,01571555163329;7,11365847693497;6,43216793331745;6,60943301725229;6,43181712550746
"Frq1";6,38480060186243;6,264141674952;6,17170299375123;6,84283942375958;6,30642626013758;6,331810829049;5,87633369834596;7,61531752024835;8,09188336604671;7,45120579804808;7,58993493938717;7,95913693259972;7,6536927927121;7,07060454201838;6,98952171269182;7,19675803747282;6,70099884150864
"HisRS";6,53825600511525;5,79606891898774;6,44678791333428;6,69161210493576;6,0217934741777;6,11507633443782;6,55777832292161;7,93969570528072;7,38480866584563;7,66687977930712;7,70558682707318;7,14239886317014;7,40500756291607;7,54242165706502;7,89750393623954;7,60470748096774;7,59102373706937
"CG6891";6,21060809285392;6,23007508132067;6,30956462254514;6,63185475057859;6,73654370682114;6,4313444467257;6,34756276054726;8,1165108694043;8,22627932217954;8,34961944345907;8,02489268843641;8,09149918449608;8,07179951270006;7,77709737367922;8,76987395242724;8,30549057868353;8,70902027665035
"obst-A";3,8406036136867;3,61806184643911;3,74677097433819;3,54242068383998;6,31723997994363;6,71392198641524;3,8131479213755;3,10627712198785;3,39019755990886;3,4143235082683;3,00961963100953;3,3145611347199;3,00453345746819;2,84052264816259;3,44987742009264;3,15360874681275;6,47578678259998
"Rab10";9,3046750254177;9,39846091020996;9,2891309512362;9,18556549588113;9,20631771484114;9,08436895822999;9,01376218872976;11,1210072753645;10,7023827620112;10,5869995927241;10,836054621044;10,6195415706718;10,4795661054783;10,3282720918198;10,7578588069955;10,4751591271338;10,6384631883095
"Stt3A";7,01128905684387;6,49469216941899;6,59870082366514;6,94096851513675;6,63505555530504;6,52368574705679;6,32932454080212;8,24356569907758;7,77737107298324;7,74232592353536;7,98947394356393;7,77794846493939;7,57110656060874;7,2015528727685;8,08759782551439;7,93281957523783;7,68077716858285
"CG15445";5,41312546950401;5,13077454366957;4,69339357186792;4,8182268717016;4,39500256399897;4,41849463105328;4,88394888268951;6,10993394300947;5,69000406833123;6,32040340558794;5,90895311852683;5,21522001130967;6,07479241070749;6,30377498499602;5,85979775546183;5,68338149914047;5,68222708382428
"Rpt6";8,05565234623756;7,86297891260507;7,92426990443276;8,43100060487883;7,82517209046417;8,10717726136658;7,79090924048726;9,08570012794036;9,10810115857049;9,50124021572186;9,42800092611975;9,2831982603013;9,37088950129008;9,20560581557677;8,83576388266774;8,79211922468698;8,66655459875283
"Sep1";6,79172897555014;7,08976809945566;6,76340959093921;7,54178391929514;7,15386959197088;7,20517687752006;6,86352863818046;8,91188254318436;8,8963325000044;9,00819021456365;8,84086911743721;8,67271995880544;8,92998636151519;8,52955205457011;9,14336321538553;9,03385041340708;8,93751025627439
"Zir";7,91393375571605;7,5023564312733;7,21104470032953;7,85528798931393;7,7588431914056;7,76140243120508;7,36919660238353;8,74479157138259;8,81793003455557;9,26211752270868;8,09515188657422;8,65946635879455;8,91610806074593;8,29010593623042;8,44703610312146;8,42073144481894;8,39649481639816
"CG3164";5,51266550773891;5,71529347662561;5,14843009624627;6,48323296355182;6,39851675242457;6,40918237529439;5,49071881256259;7,61580504571583;7,54784448396999;7,59572856145323;7,26249739969275;7,2419701559569;7,37787087380805;6,39888590872151;8,26397158027754;8,17958677919795;8,18726141387408
"Gs1";4,63348444029302;4,50252351546529;4,27716252337775;4,48907203581793;4,42272944700964;4,2895769109129;4,68368006486741;4,71133836026914;4,49830348127039;5,09596879432847;4,57625954066351;4,00610234927603;5,01884834628011;4,51476156906526;5,01176071504223;5,67853489075749;5,7331620827218
"Ent1";4,76467233204129;4,72326652982326;4,60924741862644;4,99500110636688;5,08242886173092;4,99670321351471;4,58524424502039;6,12602027115414;5,87219760783352;6,1019852616757;5,56476722506329;5,25511636340362;5,72815577554165;5,59751179776537;6,27710089833655;5,97424658985018;6,1682935472292
