"";" Pre82";" Pre83";" Pre84";" Pre85";" Pre86";" Pre87";" Pre88";" P0_89";" P0_90";" P0_91";" P0_92";" P0_93";" P0_94";" P0_95";" P5_96";" P5_97";" P5_98"
"141256_at";5,06635112090887;4,77267559894294;4,50123991106155;5,19503501642321;5,29883036193904;5,31480677744232;4,90663853677565;5,42018808977121;5,38673506140266;5,85620265039626;4,92908846786289;4,90564495913626;5,32305388946757;5,11413826411436;5,25077862763604;5,34622083046076;5,30929249090463
"141257_at";4,63348444029302;4,50252351546529;4,27716252337775;4,48907203581793;4,42272944700964;4,2895769109129;4,68368006486741;4,71133836026914;4,49830348127039;5,09596879432847;4,57625954066351;4,00610234927603;5,01884834628011;4,51476156906526;5,01176071504223;5,67853489075749;5,7331620827218
"141258_at";3,84487855299783;3,39449534048821;3,43121037142961;4,37816574621166;4,04085880878825;3,98920167291571;3,43421645061012;3,36096636642258;3,8281835516836;3,47681684831193;3,18062128022532;3,45571897862754;3,27882387134735;3,05783388334707;3,08485093464891;3,35684032962544;3,30315724461809
"141259_at";2,81511768376948;2,75690372959299;2,55384090255544;2,51821371326067;2,60596847974148;2,48973948215914;2,78254203661411;2,56136932296784;2,50585597310487;2,63360872551342;2,59271608840493;2,59271608840493;2,88789268417583;2,59865937699886;2,55171022927916;2,61846431750066;2,39419258407464
"141260_at";5,08556030272132;5,22126065427651;5,53188806571741;5,93913278850273;5,54389694426956;5,57523263449271;4,84408204117637;6,31737225802201;6,44408445352289;6,59553810494775;6,14795586409524;6,32199744924096;6,34601854518878;5,49261327068132;5,99425500548196;6,06472609340203;6,09633147685513
"141261_at";5,86074170725421;5,61516410714837;5,71820748298492;5,43339670688477;5,50811379557654;5,49355008083016;5,40312972835969;5,39701439527987;5,17667701766836;5,58686773463317;5,38481592250428;5,28351741616539;5,25694089407973;5,63553711060151;5,39367682487116;5,15734170726979;4,97112635205099
"141262_at";5,43033172203538;4,45563055454902;4,86732497348733;4,86686344515163;4,95332308477006;4,57518518568074;4,83999447914405;5,87805141002179;5,36688263256731;5,6383277340563;5,93351879828776;5,49090362469679;5,64263426865515;5,82469618456398;5,9864338013309;5,6693021130186;5,74600940504547
"141263_at";4,6314513955856;4,17294784340178;3,93449244840564;3,9185636473726;4,0436243598249;3,89887301038219;3,78990069467002;4,05379688230282;4,05854347283028;4,3186739099542;3,74400277429016;3,66752989911646;3,84584286705687;4,08461841801359;4,11939227932985;3,81358023229765;4,03425559498988
"141264_at";5,01643300922007;5,03188253026754;4,82844623492881;5,24294190305965;6,10626243632273;5,45894189752074;5,25116693010847;5,30709605332618;4,64078824258283;5,27071555374255;5,3246733953979;4,82639895940074;5,06351254918856;4,50531220795511;4,97801474592716;4,8756702657513;4,94404238866452
"141265_at";6,77535260297526;6,79386703788761;6,54445573610404;6,87249667417936;6,38325423398783;6,64761743035563;6,72203342715738;6,64456387368483;6,7468456273614;6,82033792269995;6,51816483049628;6,3374053442334;6,81207215760629;6,4789924096402;6,4281783838709;6,48242117040176;6,36993362252972
"141266_at";5,4668877878396;5,05670076110108;5,08630438920499;4,97775628192002;4,99106789373981;5,05687049182031;5,10585633017569;5,38274747067556;5,47997928541444;5,28169509462786;5,2619352252287;4,97273600589284;5,32372892232269;5,28253672451515;5,24479053438889;5,42976130145968;5,41658648260098
"141267_at";4,51181534076276;4,24883009801991;3,66605294759921;4,12644767557115;4,09731748216559;3,86778718555941;4,06246576799792;4,69773986335956;4,56959789452762;4,61113977758507;4,0904747130599;4,08934197544814;4,62328281442501;4,37923435759012;5,11521313565871;4,86312495678849;5,39153526122383
"141268_at";6,46337440579927;6,58834048434875;6,38300085426613;6,64250842621796;6,30982909844048;6,42831908775445;6,23354023229552;6,10777216817293;5,92157693706071;5,98626786211444;5,89032352036845;6,02120469226948;6,09135784654172;5,79419131600984;5,9000041057135;6,06100572401506;5,91007719144962
"141269_at";4,99053006808644;5,19510249451956;4,81759331996934;4,82783215364257;4,94227950802945;4,9929834469238;4,98617032506447;4,76301329030025;4,71076286222832;5,0093744243955;4,71003620086529;5,07817957126654;4,82496565766038;4,9531099034419;4,83433760593873;4,81870524425736;4,94960053046553
"141270_at";5,05207909887026;5,15687924802797;5,13913556131987;5,20227486350634;4,75186881500884;4,97730398446929;4,80403904753504;4,8609509188043;4,76080392184205;4,63871247403934;4,90305298715956;4,78743886874564;5,04396357003895;5,13826612117833;4,82873527737065;5,1678845477951;4,92704524087172
"141271_at";6,08674020450126;6,05103444747748;5,84083267405704;6,2471634732721;5,71247667831944;5,51062535889508;5,68529185862079;6,78380236621424;6,47491888614676;6,78391666417361;6,5949953647036;6,66838885912358;6,96776194504714;6,49492770530844;6,63055851042514;6,64407986776079;6,66632242575147
"141272_at";6,30890996095346;6,31160261714054;6,41659211146362;6,30754738128882;6,04619330938537;6,34181388015954;6,0632745114447;6,16729939414172;6,20602311597454;6,33250253716402;5,92745002129575;6,09371612153478;5,9727222741028;6,19171810551846;6,39980611411806;6,30534435644864;6,36225464286385
"141273_at";3,24348450067332;3,51827906183115;3,34602922065744;3,47156274293409;3,20960991595992;3,25222575268793;3,27487036377126;3,28307397194281;3,18834159717803;3,39661583159789;3,14989442672997;3,15332335707253;3,37778079105325;3,26011391104363;3,14843888647314;3,06794526496533;3,2991717679916
"141274_at";7,12887961645787;6,85781644135466;6,66579312914712;6,79768793510195;6,69527239038359;6,77861544157581;6,83310622228973;6,90278118786861;6,83291757526136;7,05179995274899;7,09722089573865;7,11790037801047;6,74966005321067;6,91213740336725;6,8033513758306;6,81795180356913;6,76402718330854
"141275_at";3,27299574675767;3,02363981672571;3,00136153543573;2,52143574440202;2,52947611816394;2,51255194542458;2,70634630195093;2,58870816772165;2,60419278740246;2,86427172693034;2,51518826644144;2,66422892144858;2,67156614939164;2,87030596247119;2,50925222415942;2,44827508274905;2,55808549877193
"141276_at";5,10106083809599;4,78686227899502;4,90905971627551;5,00872695617551;5,51103594206347;7,72264133051706;6,07525647320803;5,55290824847844;5,86508560984507;5,36335968814658;5,46144520115967;5,56282509506921;5,23166622959692;5,41957192198694;6,00742135633601;5,94055100054425;5,81748552949562
"141277_at";3,96462645066914;4,3569520888468;4,3653369773956;4,37088774822608;4,499251803995;4,53719549518167;4,23567674259669;4,66759276338134;5,04870247805018;4,72466504229439;4,37882265273375;4,71292044075423;4,71906356701631;4,38133464455873;4,66299159270089;4,73357324595986;4,52144469734977
"141278_at";9,45355995953223;9,4084245623219;9,13915545378617;10,0550106622143;9,83409867920227;9,53822331125055;9,25797508591983;10,8450492734656;10,8352966935769;10,324268150849;10,8211632450787;10,6707704959888;10,7003848070014;10,2306324298855;10,5582139433539;10,3832528234856;10,2001310742317
"141279_at";7,9675198610305;7,95676389203415;7,89925725773339;8,18251191907633;7,70488491232894;7,5479910476189;7,64074887260584;7,49726756634383;7,3620098088042;7,58406894212425;7,33518855153532;6,88990241079493;7,56206767298167;7,24788125058469;7,5543510994187;7,45810178233243;7,1859106176942
"141280_at";5,79905527768976;5,70929897231363;5,55552828339322;5,83951762253408;5,80705753219959;5,71211472695674;5,36314631493636;6,02448864087051;5,87854233847389;6,1820765408383;5,75912697459145;5,87581185257812;6,02422459287702;5,84788564585898;5,86317835339334;5,73311483526759;5,76763379275528
"141281_at";5,17503116500601;5,29011239114122;5,35077266302845;5,46414858204296;5,03327528565613;5,17295637189766;5,19016983007513;6,41168643632408;5,96398316967905;6,27786199729222;6,13469768291659;5,76266307242674;6,24317421994267;6,32285257237704;6,19285718113532;5,94166827532709;6,14102641478029
"141282_at";3,54705331573505;2,9803111717404;2,69141685557599;2,74037346905723;2,75264178905596;2,69545634767036;3,16887652396859;2,84014826869559;2,79893654302711;2,82232223914013;2,70313875111443;2,58621390817802;2,70141442700314;2,88648763090596;2,49650164512761;2,82588264451915;2,71044911325465
"141283_at";5,86971002687059;5,82238100220442;5,95800363359529;6,53962305050357;6,23627433554255;6,66303445976761;5,8853349103156;5,64434400090735;5,85937540105219;5,88736721731733;4,79930964751829;5,31480596908771;5,59910739427949;5,05015487905656;6,22243373934268;6,33041858275488;6,21025009176338
"141284_at";3,13773109138338;3,53955903286666;3,28380077019556;3,25783012977338;3,34387613012196;3,20448041365975;3,33299996409852;3,25280212355208;3,104858953775;3,34350875663408;3,53459988279521;3,22372236175453;3,38777288710782;3,50252174070967;3,26107386989467;3,31307761856851;3,25868857805633
"141285_at";3,65613930725412;2,92570305284434;3,07343742158126;2,60868371185439;2,81639769353989;2,75590122524927;2,78120788687322;2,60335327067608;2,63151161349273;2,92614415341807;2,90177952093023;2,72892213765187;2,61086545003635;2,75092769904714;2,70774502988;2,58166670429172;2,60613554076011
"141286_at";2,83751223603779;2,69488354113448;2,6254142845645;2,64119614173596;2,62822346510189;2,69477841308071;2,88109069140461;2,61127730689221;2,37736701866012;2,62367766496902;2,92574622341406;2,84967470835975;2,72953103289037;3,11931280728323;2,49391880969292;2,48184344060364;2,68615227711168
"141287_at";4,81215913055894;4,99126699644277;5,16035419525238;5,65057558059299;5,36592017868826;5,32950625664636;5,0724344498992;5,63909430474388;5,17919506583435;5,30852964537643;5,484097913725;5,18388556400608;5,33090677898859;5,33434253199868;5,48365772016997;5,41132867474956;5,2494865730979
"141288_at";4,91227085480495;4,6324044513575;4,53840927755143;4,98702694193453;4,52885484542105;4,64115565016609;4,64412985918203;4,88798312464388;4,91186558091656;5,11740801359713;4,85406912867031;4,90338609727099;5,04300096608729;4,76877638929805;4,97326380022905;4,77763194284301;4,79019397276111
"141289_at";9,04076386604601;9,11925675764304;9,23255583367894;8,95338699834742;8,53731291869872;7,83525044069749;9,03391392193456;8,8740540185994;8,73248747543303;8,59392174690372;8,84547413703259;8,69893599219913;8,48436623129985;8,81745155754374;8,87015171092529;8,91566544608991;8,67683775849074
"141290_at";5,55641644882418;5,40619110386151;5,41429690898841;5,73051019506964;6,01443386799113;6,02485308870997;5,57161805747035;5,74494919200914;5,65523897715932;5,88404696094765;5,60653880624438;5,61687854811597;5,73811413491962;5,03298235734421;5,26940084171263;5,69912138514148;5,56595976531133
"141291_at";6,5592186502549;6,71591935564191;6,66469695107088;7,17111270710146;6,90624978677169;6,97259209566889;6,64217628095979;7,26445655858391;7,74652120555765;6,87178271804549;6,87871765820238;7,16798386936253;7,02907513801196;6,53098657323021;6,88914209640065;6,87706985323471;6,72615126413196
"141292_at";4,56228736829422;4,5576566813196;4,21508391393027;4,94748706023784;5,20987136642726;5,51864485966753;4,7050478553315;5,92298253263092;5,68961778238122;6,09246118437559;5,57966857594439;4,99771175792336;5,80924948911471;5,54042668267426;6,31432410746396;6,12984885592769;6,13577007772151
"141293_at";4,64499727749607;4,47130433307253;4,49423462863429;4,50578318025656;4,77985569942494;4,67875932490927;4,62852923082067;4,43257786392681;4,42156208773247;4,56686999942239;4,46772783498206;4,59168772796498;4,29314444898096;4,46763745352632;4,34757623803093;4,45281662023171;4,62332538769879
"141294_at";3,42677828860169;3,7219045583029;3,22667778156912;3,68151373735604;3,49817254714667;3,66107936985019;3,51277694128613;3,75474398633876;4,0260096466582;3,92204986531841;3,35335062827798;3,8362166812981;3,74183248845186;3,40803114890774;3,77329871686076;3,51169286354941;3,47373677987355
